                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.7402,                  1.966,                 2.0153,                 0.4568,                0.46602,                0.42315,                0.21955,                 1.6824,                 2.0056,                 2.0435,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.7448,                 1.9143,                  2.007,                0.55779,                0.50786,                 0.5428,                0.28709,                 1.6709,                 1.7081,                 2.0309,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.7639,                 1.9411,                 2.0615,                0.58717,                0.52647,                 0.5555,                0.30088,                  1.658,                 1.6624,                 1.9961,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.7634,                 1.8985,                 2.0577,                0.59018,                0.56214,                0.58298,                0.30934,                 1.6373,                 1.6383,                 1.9974,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.7584,                 1.9288,                 2.0243,                 0.5895,                0.51646,                 0.5557,                0.29324,                 1.6421,                 1.6457,                 1.9948,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.6826,                 1.8659,                 2.0044,                 0.6244,                0.54481,                0.60445,                 0.3281,                 1.6129,                 1.5912,                 1.9704,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.7416,                  1.823,                 1.9872,                0.62466,                0.54216,                0.58395,                0.31658,                 1.6286,                 1.6079,                 1.9687,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.7246,                 1.8092,                 1.9771,                0.62507,                0.54635,                0.58967,                0.32578,                  1.617,                  1.613,                  1.969,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.6775,                 1.7791,                 1.9476,                 0.6147,                0.54454,                0.59029,                0.33395,                 1.5926,                 1.5733,                 1.9448,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.7155,                  1.773,                 1.9837,                0.61625,                0.48023,                0.55914,                0.29897,                 1.6778,                 1.8351,                 2.0212,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.6782,                  1.755,                 1.9586,                0.61088,                0.56598,                0.59009,                0.32995,                 1.5675,                 1.5766,                 1.9103,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.6805,                 1.7867,                 1.9491,                0.67555,                0.56021,                0.62851,                0.36542,                  1.543,                 1.4919,                 1.8851,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.6915,                 1.7787,                 1.9618,                0.62625,                0.58986,                0.63473,                0.37215,                  1.498,                 1.6042,                 1.8485,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.6667,                 1.7057,                 1.9039,                0.67378,                 0.5791,                0.64976,                 0.3647,                 1.5668,                 1.4727,                  1.911,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.6287,                 1.7014,                 1.9225,                0.68407,                0.58817,                0.65552,                0.37218,                 1.5451,                 1.4485,                 1.8811,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.6883,                  1.721,                  1.934,                0.71524,                0.58565,                0.66389,                0.38561,                 1.5288,                   1.42,                 1.8661,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.6359,                 1.6803,                 1.8747,                 0.7463,                 0.5838,                0.67814,                0.39659,                 1.4814,                 1.4103,                 1.8258,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.6048,                 1.6621,                 1.8759,                0.64764,                0.53889,                0.60326,                0.33647,                 1.5758,                 1.5424,                 1.9083,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.6067,                 1.6411,                 1.8481,                0.67723,                0.57109,                0.66524,                0.38277,                  1.527,                 1.4302,                 1.8515,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.6184,                 1.6586,                 1.8899,                0.72031,                0.58242,                0.67934,                0.39777,                   1.51,                 1.3715,                  1.842,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.6102,                 1.6811,                 1.8876,                0.68935,                0.59531,                0.66848,                0.39519,                 1.4938,                 1.3934,                  1.829,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.6188,                 1.6141,                 1.8551,                0.74082,                0.57978,                0.68342,                0.39246,                 1.4823,                 1.3887,                  1.829,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.5958,                 1.6355,                 1.8519,                0.71283,                0.64324,                0.71153,                0.43277,                   1.43,                 1.3621,                 1.7815,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.5562,                 1.5927,                 1.8656,                0.69573,                 0.6359,                0.70164,                0.41647,                 1.4652,                 1.3131,                  1.808,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.6022,                  1.597,                 1.8507,                0.73885,                0.61735,                0.70265,                0.42784,                 1.4603,                 1.3199,                  1.806,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.6276,                 1.6907,                  1.909,                0.66716,                0.61615,                0.68681,                 0.4117,                 1.4531,                 1.5335,                 1.8098,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.6085,                 1.6415,                 1.8672,                0.69406,                0.62867,                0.69361,                0.41598,                 1.4375,                 1.3606,                 1.7786,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.5601,                 1.5728,                 1.8236,                0.72071,                0.64162,                0.71659,                0.42639,                 1.4483,                 1.3086,                 1.7847,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.5734,                 1.5733,                 1.8698,                0.73715,                0.64012,                 0.7283,                0.44861,                  1.411,                 1.2806,                 1.7714,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.5219,                 1.5392,                 1.8027,                 0.7544,                0.63246,                0.74258,                 0.4555,                 1.4125,                 1.2611,                 1.7641,             0.00042925,             0.00042925,             0.00042925
                     78,                  1.536,                 1.5687,                 1.8509,                0.73361,                0.64964,                0.72226,                0.43072,                 1.4298,                 1.2636,                 1.7794,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.5538,                 1.5205,                 1.8001,                0.74648,                0.63566,                0.72947,                0.43342,                  1.434,                 1.2947,                 1.7657,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.4934,                 1.5553,                 1.8298,                0.75223,                0.64717,                0.72874,                0.44758,                 1.4091,                 1.2538,                 1.7549,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.5369,                 1.5302,                 1.8168,                0.76613,                0.63541,                0.73309,                0.44866,                 1.4224,                  1.355,                 1.7668,             0.00036324,             0.00036324,             0.00036324
                     82,                  1.528,                   1.52,                 1.8099,                 0.7553,                0.65454,                 0.7433,                0.45339,                 1.4102,                 1.2288,                 1.7491,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.5466,                 1.5322,                 1.7944,                0.78892,                0.63737,                0.75315,                0.47511,                 1.3654,                 1.2025,                 1.7154,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.5049,                 1.4861,                 1.7797,                0.77505,                 0.6603,                0.75531,                0.46387,                 1.3897,                 1.2221,                 1.7382,             0.00031373,             0.00031373,             0.00031373
